#i,j,r,g,b
148,168,172,172,172

145,170,172,172,172
140,168,172,172,172

145,170,172,172,172
151,169,172,172,172

145,141,185,185,185
145,138,185,185,185

145,141,185,185,185
146,146,185,185,185

145,141,185,185,185
151,139,185,185,185

145,138,138,138,138
145,141,138,138,138

145,138,138,138,138
151,139,138,138,138

145,138,138,138,138
146,146,138,138,138

146,386,127,127,127
147,387,127,127,127

146,386,127,127,127
147,384,127,127,127

146,386,127,127,127
142,389,127,127,127

146,323,235,235,235
148,322,235,235,235

146,323,235,235,235
145,320,235,235,235

146,323,235,235,235
150,327,235,235,235

146,253,237,237,237
143,252,237,237,237

146,253,237,237,237
149,255,237,237,237

146,253,237,237,237
149,249,237,237,237

146,219,219,219,219
145,220,219,219,219

146,219,219,219,219
149,218,219,219,219

146,219,219,219,219
150,220,219,219,219

146,146,167,167,167
145,141,167,167,167

146,146,167,167,167
139,145,167,167,167

146,146,167,167,167
138,147,167,167,167

147,387,215,215,215
146,386,215,215,215

147,387,215,215,215
147,384,215,215,215

147,387,215,215,215
142,389,215,215,215

147,384,156,156,156
146,386,156,156,156

147,384,156,156,156
147,387,156,156,156

147,384,156,156,156
148,380,156,156,156

147,373,138,138,138
144,378,138,138,138

