#i,j,r,g,b
115,255,180,180,180

111,253,180,180,180
106,256,180,180,180

111,243,107,107,107
110,239,107,107,107

111,243,107,107,107
116,244,107,107,107

111,243,107,107,107
105,242,107,107,107

112,304,207,207,207
111,307,207,207,207

112,304,207,207,207
113,300,207,207,207

112,304,207,207,207
108,308,207,207,207

112,298,211,211,211
112,297,211,211,211

112,298,211,211,211
111,297,211,211,211

112,298,211,211,211
113,300,211,211,211

112,297,232,232,232
111,297,232,232,232

112,297,232,232,232
112,298,232,232,232

112,297,232,232,232
112,294,232,232,232

112,294,157,157,157
112,297,157,157,157

112,294,157,157,157
112,291,157,157,157

112,294,157,157,157
111,297,157,157,157

112,291,195,195,195
112,294,195,195,195

112,291,195,195,195
112,297,195,195,195

112,291,195,195,195
111,297,195,195,195

112,183,82,82,82
123,183,82,82,82

112,183,82,82,82
122,177,82,82,82

112,183,82,82,82
123,188,82,82,82

113,300,119,119,119
112,298,119,119,119

113,300,119,119,119
112,297,119,119,119

113,300,119,119,119
111,297,119,119,119

113,278,230,230,230
113,276,230,230,230

113,278,230,230,230
115,280,230,230,230

113,278,230,230,230
109,282,230,230,230

113,276,197,197,197
113,278,197,197,197

113,276,197,197,197
115,280,197,197,197

113,276,197,197,197
117,274,197,197,197

114,318,201,201,201
114,317,201,201,201

114,318,201,201,201
111,314,201,201,201

114,318,201,201,201
110,311,201,201,201

114,317,173,173,173
114,318,173,173,173

114,317,173,173,173
111,314,173,173,173

114,317,173,173,173
110,311,173,173,173

114,266,247,247,247
119,264,247,247,247

114,266,247,247,247
110,262,247,247,247

114,266,247,247,247
108,268,247,247,247

114,256,228,228,228
115,255,228,228,228

114,256,228,228,228
111,253,228,228,228

114,256,228,228,228
117,259,228,228,228

115,280,255,255,255
113,278,255,255,255

115,280,255,255,255
113,276,255,255,255

115,280,255,255,255
111,284,255,255,255

115,255,204,204,204
114,256,204,204,204

115,255,204,204,204
111,253,204,204,204

115,255,204,204,204
117,259,204,204,204

116,272,236,236,236
117,273,236,236,236

116,272,236,236,236
117,274,236,236,236

116,272,236,236,236
118,273,236,236,236

116,244,211,211,211
117,246,211,211,211

116,244,211,211,211
120,247,211,211,211

116,244,211,211,211
111,243,211,211,211

116,147,101,101,101
119,152,101,101,101

116,147,101,101,101
125,150,101,101,101

116,147,101,101,101
132,147,101,101,101

117,309,245,245,245
118,310,245,245,245

117,309,245,245,245
111,307,245,245,245

117,309,245,245,245
112,304,245,245,245

117,274,205,205,205
117,273,205,205,205

117,274,205,205,205
118,273,205,205,205

117,274,205,205,205
116,272,205,205,205

117,273,251,251,251
117,274,251,251,251

117,273,251,251,251
118,273,251,251,251

117,273,251,251,251
116,272,251,251,251

117,259,224,224,224
114,256,224,224,224

117,259,224,224,224
115,255,224,224,224

117,259,224,224,224
120,263,224,224,224

117,246,213,213,213
116,244,213,213,213

117,246,213,213,213
120,247,213,213,213

117,246,213,213,213
111,243,213,213,213

118,310,249,249,249
117,309,249,249,249

118,310,249,249,249
111,307,249,249,249

118,310,249,249,249
121,303,249,249,249

118,273,224,224,224
117,273,224,224,224

118,273,224,224,224
