i1,j1,i2,j2,r,g,b
118,376,121,383,249,249,249
118,413,117,413,224,224,224
118,413,117,412,224,224,224
118,413,116,414,224,224,224
119,389,120,384,207,207,207
119,389,121,383,207,207,207
119,389,123,394,207,207,207
119,422,120,423,216,216,216
119,422,122,419,216,216,216
119,422,114,420,216,216,216
119,489,120,492,135,135,135
119,489,123,487,135,135,135
119,489,126,492,135,135,135
119,534,116,539,139,139,139
119,534,125,536,139,139,139
119,534,132,539,139,139,139
120,384,121,383,185,185,185
120,384,119,389,185,185,185
120,384,126,381,185,185,185
120,423,119,422,220,220,220
120,423,122,419,220,220,220
120,423,117,427,220,220,220
120,439,117,440,200,200,200
120,439,116,442,200,200,200
120,439,122,434,200,200,200
120,492,119,489,66,66,66
120,492,123,487,66,66,66
120,492,126,492,66,66,66
121,383,120,384,131,131,131
121,383,126,381,131,131,131
121,383,119,389,131,131,131
122,406,122,409,233,233,233
122,406,125,403,233,233,233
122,406,126,403,233,233,233
122,409,122,406,232,232,232
122,409,118,413,232,232,232
122,409,117,412,232,232,232
122,419,123,418,228,228,228
122,419,123,416,228,228,228
122,419,119,422,228,228,228
122,434,120,439,218,218,218
122,434,115,431,218,218,218
122,434,117,440,218,218,218
122,454,131,463,178,178,178
122,454,129,465,178,178,178
122,454,116,442,178,178,178
122,509,126,506,120,120,120
122,509,123,503,120,120,120
122,509,127,514,120,120,120
123,347,128,346,238,238,238
123,347,127,351,238,238,238
123,347,128,344,238,238,238
123,361,128,360,177,177,177
123,361,125,366,177,177,177
123,361,129,366,177,177,177
123,394,125,392,219,219,219
123,394,119,389,219,219,219
123,394,130,395,219,219,219
123,416,123,418,214,214,214
123,416,122,419,214,214,214
123,416,118,413,214,214,214
123,418,122,419,218,218,218
123,418,123,416,218,218,218
123,418,119,422,218,218,218
123,487,119,489,184,184,184
123,487,127,489,184,184,184
123,487,120,492,184,184,184
123,498,123,503,178,178,178
123,498,120,492,178,178,178
123,498,126,492,178,178,178
123,503,126,506,162,162,162
123,503,123,498,162,162,162
123,503,122,509,162,162,162
125,341,128,344,201,201,201
125,341,128,346,201,201,201
125,341,123,347,201,201,201
125,366,127,369,233,233,233
125,366,129,366,233,233,233
125,366,123,361,233,233,233
125,392,123,394,250,250,250
125,392,130,395,250,250,250
125,392,119,389,250,250,250
125,403,126,403,237,237,237
125,403,128,401,237,237,237
125,403,122,406,237,237,237
125,536,119,534,120,120,120
125,536,132,539,120,120,120
125,536,116,539,120,120,120
125,556,133,559,34,34,34
125,556,136,558,34,34,34
125,556,135,542,34,34,34
126,381,130,382,250,250,250
126,381,131,381,250,250,250
126,381,121,383,250,250,250
126,403,125,403,203,203,203
126,403,128,401,203,203,203
126,403,122,406,203,203,203
126,424,129,424,203,203,203
126,424,120,423,203,203,203
126,424,122,419,203,203,203
126,492,127,489,200,200,200
126,492,130,494,200,200,200
126,492,123,487,200,200,200
126,506,123,503,150,150,150
126,506,122,509,150,150,150
126,506,127,514,150,150,150
127,351,131,353,244,244,244
127,351,128,346,244,244,244
127,351,123,347,244,244,244
127,369,125,366,118,118,118
127,369,129,366,118,118,118
127,369,131,364,118,118,118
127,489,126,492,163,163,163
127,489,123,487,163,163,163
127,489,130,494,163,163,163
127,514,128,518,114,114,114
127,514,122,509,114,114,114
127,514,126,506,114,114,114
128,344,128,346,208,208,208
128,344,125,341,208,208,208
128,344,123,347,208,208,208
128,346,128,344,255,255,255
128,346,123,347,255,255,255
128,346,127,351,255,255,255
128,360,131,364,251,251,251
128,360,123,361,251,251,251
128,360,129,366,251,251,251
128,401,126,403,193,193,193
128,401,125,403,193,193,193
128,401,130,395,193,193,193
128,518,127,514,130,130,130
128,518,134,518,130,130,130
128,518,122,509,130,130,130
129,366,131,364,161,161,161
129,366,127,369,161,161,161
129,366,125,366,161,161,161
129,412,133,414,105,105,105
129,412,131,407,105,105,105
129,412,131,417,105,105,105
129,424,126,424,186,186,186
129,424,134,424,186,186,186
129,424,131,419,186,186,186
129,465,130,466,203,203,203
129,465,131,463,203,203,203
129,465,132,468,203,203,203
130,382,131,381,118,118,118
130,382,126,381,118,118,118
130,382,131,377,118,118,118
130,395,134,394,249,249,249
130,395,125,392,249,249,249
130,395,128,401,249,249,249
130,466,129,465,185,185,185
130,466,132,468,185,185,185
130,466,131,463,185,185,185
130,494,126,492,187,187,187
130,494,134,496,187,187,187
130,494,127,489,187,187,187
131,353,134,356,221,221,221
131,353,127,351,221,221,221
131,353,136,354,221,221,221
131,364,129,366,246,246,246
131,364,135,362,246,246,246
131,364,128,360,246,246,246
131,376,131,377,199,199,199
131,376,131,381,199,199,199
131,376,130,382,199,199,199
131,377,131,376,64,64,64
131,377,131,381,64,64,64
131,377,130,382,64,64,64
131,381,130,382,103,103,103
131,381,131,377,103,103,103
131,381,126,381,103,103,103
131,407,129,412,220,220,220
131,407,126,403,220,220,220
131,407,136,411,220,220,220
131,417,131,418,238,238,238
131,417,131,419,238,238,238
131,417,133,414,238,238,238
131,418,131,417,227,227,227
131,418,131,419,227,227,227
131,418,133,414,227,227,227
131,419,131,418,233,233,233
131,419,131,417,233,233,233
131,419,129,424,233,233,233
131,463,129,465,212,212,212
131,463,130,466,212,212,212
131,463,135,464,212,212,212
132,433,134,432,252,252,252
132,433,135,431,252,252,252
132,433,134,426,252,252,252
132,468,130,466,63,63,63
132,468,129,465,63,63,63
132,468,135,464,63,63,63
132,539,135,542,153,153,153
132,539,138,539,153,153,153
132,539,139,541,153,153,153
133,414,131,417,215,215,215
133,414,136,411,215,215,215
133,414,129,412,215,215,215
133,559,136,558,81,81,81
133,559,125,556,81,81,81
133,559,145,548,81,81,81
134,332,137,334,215,215,215
134,332,135,328,215,215,215
134,332,137,337,215,215,215
134,356,136,354,250,250,250
134,356,131,353,250,250,250
134,356,135,361,250,250,250
134,394,130,395,152,152,152
134,394,138,395,152,152,152
134,394,139,392,152,152,152
134,424,134,426,160,160,160
134,424,129,424,160,160,160
134,424,131,419,160,160,160
134,426,134,424,252,252,252
134,426,135,431,252,252,252
134,426,129,424,252,252,252
134,432,135,431,241,241,241
134,432,132,433,241,241,241
134,432,134,426,241,241,241
134,460,135,464,201,201,201
134,460,131,463,201,201,201
134,460,136,464,201,201,201
134,496,135,498,113,113,113
134,496,130,494,113,113,113
134,496,141,500,113,113,113
134,518,128,518,170,170,170
134,518,140,518,170,170,170
134,518,127,514,170,170,170
135,277,135,280,145,145,145
135,277,138,276,145,145,145
135,277,137,280,145,145,145
135,280,137,280,183,183,183
135,280,135,277,183,183,183
135,280,138,276,183,183,183
135,328,134,332,235,235,235
135,328,137,334,235,235,235
135,328,142,326,235,235,235
135,361,135,362,222,222,222
135,361,139,360,222,222,222
135,361,139,362,222,222,222
135,362,135,361,188,188,188
135,362,139,362,188,188,188
135,362,131,364,188,188,188
135,431,134,432,228,228,228
135,431,132,433,228,228,228
135,431,134,426,228,228,228
135,464,136,464,161,161,161
135,464,137,466,161,161,161
135,464,131,463,161,161,161
135,498,134,496,143,143,143
135,498,141,500,143,143,143
135,498,130,494,143,143,143
135,542,139,541,124,124,124
135,542,132,539,124,124,124
135,542,138,539,124,124,124
136,354,134,356,158,158,158
136,354,131,353,158,158,158
136,354,137,348,158,158,158
136,411,137,411,227,227,227
136,411,133,414,227,227,227
136,411,131,407,227,227,227
136,453,140,457,109,109,109
136,453,141,458,109,109,109
136,453,134,460,109,109,109
136,464,135,464,173,173,173
136,464,137,466,173,173,173
136,464,134,460,173,173,173
136,558,133,559,134,134,134
136,558,125,556,134,134,134
136,558,145,548,134,134,134
137,280,135,280,198,198,198
137,280,135,277,198,198,198
137,280,138,276,198,198,198
137,334,139,335,115,115,115
137,334,137,337,115,115,115
137,334,134,332,115,115,115
137,337,139,335,252,252,252
137,337,137,334,252,252,252
137,337,137,341,252,252,252
137,341,139,343,114,114,114
137,341,137,337,114,114,114
137,341,141,345,114,114,114
137,348,140,347,226,226,226
137,348,141,345,226,226,226
137,348,139,343,226,226,226
137,411,136,411,228,228,228
137,411,133,414,228,228,228
137,411,131,407,228,228,228
137,466,136,464,208,208,208
137,466,135,464,208,208,208
137,466,132,468,208,208,208
137,505,139,503,200,200,200
137,505,140,508,200,200,200
137,505,141,507,200,200,200
138,276,135,277,204,204,204
138,276,137,280,204,204,204
138,276,135,280,204,204,204
138,395,139,392,209,209,209
138,395,134,394,209,209,209
138,395,130,395,209,209,209
138,441,138,444,224,224,224
138,441,143,434,224,224,224
138,441,134,432,224,224,224
138,444,138,441,169,169,169
138,444,136,453,169,169,169
138,444,143,434,169,169,169
138,539,139,541,172,172,172
138,539,135,542,172,172,172
138,539,132,539,172,172,172
139,318,142,326,208,208,208
139,318,147,313,208,208,208
139,318,135,328,208,208,208
139,335,137,334,187,187,187
139,335,137,337,187,187,187
139,335,143,335,187,187,187
139,343,137,341,154,154,154
139,343,141,345,154,154,154
139,343,140,347,154,154,154
139,360,139,362,237,237,237
139,360,135,361,237,237,237
139,360,135,362,237,237,237
139,362,139,360,226,226,226
139,362,135,362,226,226,226
139,362,135,361,226,226,226
139,392,138,395,183,183,183
139,392,134,394,183,183,183
139,392,130,395,183,183,183
139,503,137,505,194,194,194
139,503,141,500,194,194,194
139,503,143,502,194,194,194
139,541,138,539,157,157,157
139,541,135,542,157,157,157
139,541,146,540,157,157,157
140,347,141,345,253,253,253
140,347,137,348,253,253,253
140,347,143,349,253,253,253
140,419,140,421,231,231,231
140,419,134,424,231,231,231
140,419,137,411,231,231,231
140,421,140,419,231,231,231
140,421,134,424,231,231,231
140,421,134,426,231,231,231
140,457,141,458,192,192,192
140,457,144,456,192,192,192
140,457,144,459,192,192,192
140,508,141,507,213,213,213
140,508,142,507,213,213,213
140,508,137,505,213,213,213
140,518,145,516,80,80,80
140,518,134,518,80,80,80
140,518,148,518,80,80,80
141,272,138,276,229,229,229
141,272,135,277,229,229,229
141,272,137,280,229,229,229
141,345,140,347,235,235,235
141,345,139,343,235,235,235
141,345,143,349,235,235,235
141,371,143,372,250,250,250
141,371,142,374,250,250,250
141,371,145,366,250,250,250
141,382,147,385,174,174,174
141,382,142,374,174,174,174
141,382,131,381,174,174,174
141,458,140,457,211,211,211
141,458,144,459,211,211,211
141,458,144,456,211,211,211
141,500,143,502,161,161,161
141,500,139,503,161,161,161
141,500,135,498,161,161,161
141,507,142,507,190,190,190
141,507,140,508,190,190,190
141,507,137,505,190,190,190
142,297,146,300,230,230,230
142,297,147,299,230,230,230
142,297,143,291,230,230,230
142,326,148,324,216,216,216
142,326,135,328,216,216,216
142,326,149,323,216,216,216
142,374,143,372,126,126,126
142,374,141,371,126,126,126
142,374,141,382,126,126,126
142,463,145,466,213,213,213
142,463,144,459,213,213,213
142,463,141,458,213,213,213
142,469,145,466,194,194,194
142,469,146,467,194,194,194
142,469,137,466,194,194,194
142,507,141,507,169,169,169
142,507,140,508,169,169,169
142,507,139,503,169,169,169
143,291,145,288,219,219,219
143,291,142,297,219,219,219
143,291,147,299,219,219,219
143,335,143,338,184,184,184
143,335,139,335,184,184,184
143,335,137,334,184,184,184
143,338,143,335,252,252,252
143,338,139,335,252,252,252
143,338,137,337,252,252,252
143,349,140,347,230,230,230
143,349,141,345,230,230,230
143,349,137,348,230,230,230
143,372,141,371,220,220,220
143,372,142,374,220,220,220
143,372,145,366,220,220,220
143,434,146,433,234,234,234
143,434,149,431,234,234,234
143,434,149,437,234,234,234
143,502,141,500,204,204,204
143,502,139,503,204,204,204
143,502,147,505,204,204,204
144,308,148,306,222,222,222
144,308,147,313,222,222,222
144,308,147,302,222,222,222
144,456,145,455,193,193,193
144,456,144,459,193,193,193
144,456,145,453,193,193,193
144,459,144,456,201,201,201
144,459,141,458,201,201,201
144,459,145,455,201,201,201
145,288,143,291,227,227,227
145,288,152,288,227,227,227
145,288,152,289,227,227,227
145,366,146,363,233,233,233
145,366,148,364,233,233,233
145,366,143,372,233,233,233
145,453,145,455,198,198,198
145,453,144,456,198,198,198
145,453,144,459,198,198,198
145,455,144,456,195,195,195
145,455,145,453,195,195,195
145,455,144,459,195,195,195
145,466,146,467,210,210,210
145,466,142,463,210,210,210
145,466,142,469,210,210,210
145,516,148,518,172,172,172
145,516,140,518,172,172,172
145,516,151,517,172,172,172
145,545,145,548,185,185,185
145,545,146,540,185,185,185
145,545,151,547,185,185,185
145,548,145,545,138,138,138
145,548,151,547,138,138,138
145,548,146,540,138,138,138
146,300,147,299,127,127,127
146,300,147,302,127,127,127
146,300,142,297,127,127,127
146,363,148,364,235,235,235
146,363,145,366,235,235,235
146,363,150,359,235,235,235
146,433,143,434,237,237,237
146,433,149,431,237,237,237
146,433,149,437,237,237,237
146,467,145,466,219,219,219
146,467,149,468,219,219,219
146,467,150,466,219,219,219
146,540,145,545,167,167,167
146,540,139,541,167,167,167
146,540,138,539,167,167,167
147,299,146,300,215,215,215
147,299,147,302,215,215,215
147,299,142,297,215,215,215
147,302,146,300,156,156,156
147,302,147,299,156,156,156
147,302,148,306,156,156,156
147,313,144,308,138,138,138
147,313,148,306,138,138,138
147,313,154,307,138,138,138
147,385,151,380,234,234,234
147,385,141,382,234,234,234
147,385,156,390,234,234,234
147,413,148,415,229,229,229
147,413,152,412,229,229,229
147,413,140,419,229,229,229
147,505,143,502,181,181,181
147,505,142,507,181,181,181
147,505,141,507,181,181,181
148,281,150,278,215,215,215
148,281,145,288,215,215,215
