#i,j,r,g,b
205,471,4,4,4
205,467,4,4,4

205,471,4,4,4
213,470,4,4,4

205,467,5,5,5
207,468,5,5,5

205,467,5,5,5
205,471,5,5,5

205,467,5,5,5
208,462,5,5,5

207,468,5,5,5
205,467,5,5,5

207,468,5,5,5
205,471,5,5,5

207,468,5,5,5
208,462,5,5,5

208,462,7,7,7
208,461,7,7,7

208,462,7,7,7
211,460,7,7,7

208,462,7,7,7
205,467,7,7,7

208,461,4,4,4
208,462,4,4,4

208,461,4,4,4
211,460,4,4,4

208,461,4,4,4
205,467,4,4,4

208,359,139,139,139
203,370,139,139,139

208,359,139,139,139
198,374,139,139,139

208,359,139,139,139
219,342,139,139,139

211,460,15,15,15
208,461,15,15,15

211,460,15,15,15
208,462,15,15,15

211,460,15,15,15
207,468,15,15,15

211,167,78,78,78
190,171,78,78,78

211,167,78,78,78
186,165,78,78,78

211,167,78,78,78
185,181,78,78,78

212,318,62,62,62
220,324,62,62,62

212,318,62,62,62
221,311,62,62,62

212,318,62,62,62
196,316,62,62,62

213,470,5,5,5
207,468,5,5,5

213,470,5,5,5
205,471,5,5,5

213,470,5,5,5
205,467,5,5,5

214,479,10,10,10
218,478,10,10,10

214,479,10,10,10
